FFL_num	FFL_XYZ	ave	reg	XY	XZ	YZ
000100110: 39 248 20	YER092W YJR127C YPR104C	57.6666666667	binding enriched|binding enriched|binding enriched	68.879	79.914	24.207
000100110: 39 248 10	YER092W YJR127C YIL101C	24.1523333333	binding enriched|binding enriched|binding enriched	23.87	24.38	24.207
000100110: 39 173 143	YER092W YML007W YDR392W	99.491	binding enriched|binding enriched|binding enriched	135.962	76.501	86.01
000100110: 39 173 40	YER092W YML007W YDL005C	59.8273333333	binding enriched|binding enriched|binding enriched	13.486	79.986	86.01
000100110: 39 173 10	YER092W YML007W YIL101C	57.882	binding enriched|binding enriched|binding enriched	63.256	24.38	86.01
000100110: 39 143 49	YER092W YDR392W YNL216W	61.2886666667	binding enriched|binding enriched|binding enriched	70.975	36.39	76.501
000100110: 39 143 10	YER092W YDR392W YIL101C	64.7556666667	binding enriched|binding enriched|binding enriched	93.386	24.38	76.501
000100110: 39 70 44	YER092W YNL330C YDR259C	64.8103333333	binding enriched|binding enriched|binding enriched	63.684	77.94	52.807
000100110: 39 44 49	YER092W YDR259C YNL216W	63.3866666667	binding enriched|binding enriched|binding enriched	75.83	36.39	77.94
000100110: 39 44 10	YER092W YDR259C YIL101C	63.7443333333	binding enriched|binding enriched|binding enriched	88.913	24.38	77.94
000100110: 39 20 44	YER092W YPR104C YDR259C	74.307	binding enriched|binding enriched|binding enriched	65.067	77.94	79.914
000100110: 39 10 458	YER092W YIL101C YHR206W	43.9203333333	binding enriched|binding enriched|binding enriched	48.248	59.133	24.38
000100110: 39 10 59	YER092W YIL101C YPR086W	52.015	binding enriched|binding enriched|binding enriched	61.746	69.919	24.38
000100110: 41 387 59	YBR082C YGR116W YPR086W	54.8246666667	binding enriched|binding enriched|binding enriched	81.974	51.247	31.253
000100110: 41 387 55	YBR082C YGR116W YER159C	51.3146666667	binding enriched|binding enriched|binding enriched	58.751	63.94	31.253
000100110: 41 213 33	YBR082C YGL071W YGR252W	49.0816666667	binding enriched|binding enriched|+	49.151	50.471	47.623
000100110: 41 213 1	YBR082C YGL071W YLR403W	84.5413333333	?|?|+	100.553	105.448	47.623
000100110: 41 175 59	YBR082C YGL073W YPR086W	62.858	binding enriched|binding enriched|+	89.753	51.247	47.574
000100110: 41 175 1	YBR082C YGL073W YLR403W	84.1816666667	?|?|+	99.523	105.448	47.574
000100110: 41 156 40	YBR082C YDR207C YDL005C	86.1516666667	binding enriched|binding enriched|binding enriched	110.681	72.25	75.524
000100110: 41 153 12	YBR082C YDR448W YLR071C	78.0666666667	binding enriched|binding enriched|binding enriched	109.74	47.416	77.044
000100110: 41 143 49	YBR082C YDR392W YNL216W	78.231	binding enriched|binding enriched|binding enriched	70.975	73.854	89.864
000100110: 41 55 1	YBR082C YER159C YLR403W	86.7486666667	?|?|binding enriched	90.858	105.448	63.94
000100110: 41 49 31	YBR082C YNL216W YBR049C	63.745	binding enriched|+|binding enriched	94.046	23.335	73.854
000100110: 41 31 182	YBR082C YBR049C YBR081C	16.261	binding enriched|binding enriched|+	22.558	2.89	23.335
000100110: 41 31 143	YBR082C YBR049C YDR392W	74.6106666667	binding enriched|binding enriched|+	110.633	89.864	23.335
000100110: 41 31 59	YBR082C YBR049C YPR086W	44.1913333333	binding enriched|binding enriched|+	57.992	51.247	23.335
000100110: 41 14 175	YBR082C YDR397C YGL073W	84.486	+|+|binding enriched	111.594	47.574	94.29
000100110: 41 1 31	YBR082C YLR403W YBR049C	82.4143333333	binding enriched|+|?	118.46	23.335	105.448
000100110: 43 1647 1	YIL011W YER169W YLR403W	120.555666667	?|-|binding enriched	93.742	170.726	97.199
000100110: 43 699 218	YIL011W YMR070W YDR463W	99.4993333333	binding enriched|+|-	80.452	134.78	83.266
000100110: 43 699 156	YIL011W YMR070W YDR207C	86.1973333333	binding enriched|-|-	51.388	123.938	83.266
000100110: 43 699 1	YIL011W YMR070W YLR403W	137.506666667	+|-|-	158.528	170.726	83.266
000100110: 43 564 97	YIL011W YHR041C YOR174W	93.327	binding enriched|binding enriched|+	109.194	118.049	52.738
000100110: 43 252 18	YIL011W YDR146C YPL254W	90.2376666667	binding enriched|binding enriched|binding enriched	51.25	110.57	108.893
000100110: 43 180 277	YIL011W YCR084C YIL036W	41.9663333333	+|+|binding enriched	37.974	36.798	51.127
000100110: 43 180 83	YIL011W YCR084C YPL075W	59.377	+|+|binding enriched	47.301	79.703	51.127
000100110: 43 156 97	YIL011W YDR207C YOR174W	100.173666667	binding enriched|binding enriched|-	58.534	118.049	123.938
000100110: 43 156 20	YIL011W YDR207C YPR104C	88.2513333333	binding enriched|binding enriched|-	54.89	85.926	123.938
000100110: 43 83 287	YIL011W YPL075W YGR104C	80.085	binding enriched|binding enriched|+	72.736	87.816	79.703
000100110: 43 83 218	YIL011W YPL075W YDR463W	105.154	binding enriched|+|+	100.979	134.78	79.703
000100110: 43 83 143	YIL011W YPL075W YDR392W	106.671333333	binding enriched|binding enriched|+	99.198	141.113	79.703
000100110: 43 83 1	YIL011W YPL075W YLR403W	131.337	?|-|+	143.582	170.726	79.703
000100110: 43 1 180	YIL011W YLR403W YCR084C	116.827	binding enriched|binding enriched|-	128.628	51.127	170.726
000100110: 44 137 53	YDR259C YIR018W YNL103W	107.299333333	?|?|binding enriched	92.63	95.715	133.553
000100110: 47 23 1	YBR217W YOR110W YLR403W	110.102666667	-|-|binding enriched	151.741	71.713	106.854
000100110: 50 49 31	YDR036C YNL216W YBR049C	74.3083333333	binding enriched|binding enriched|binding enriched	94.046	54.517	74.362
000100110: 50 44 49	YDR036C YDR259C YNL216W	75.769	binding enriched|binding enriched|binding enriched	75.83	74.362	77.115
000100110: 51 355 40	YGR094W YJL056C YDL005C	83.471	binding enriched|binding enriched|binding enriched	69.852	88.786	91.775
000100110: 51 287 33	YGR094W YGR104C YGR252W	31.6883333333	binding enriched|binding enriched|binding enriched	42.159	41.866	11.04
000100110: 51 277 33	YGR094W YIL036W YGR252W	60.7366666667	binding enriched|binding enriched|+	87.218	41.866	53.126
000100110: 51 180 277	YGR094W YCR084C YIL036W	45.1446666667	+|+|+	37.974	53.126	44.334
000100110: 51 175 1	YGR094W YGL073W YLR403W	71.2033333333	?|+|+	99.523	88.331	25.756
000100110: 51 25 33	YGR094W YOL148C YGR252W	79.8586666667	binding enriched|binding enriched|+	95.045	41.866	102.665
